protocol_id	protocol_name	role_in_workflow	public_description	example_application
HG-01	Hypothesis structuring	Convert biological hypotheses into testable genetic questions	Defines the candidate exposure, biological axis, measurable molecular layer, and aging-related outcome classes before statistical testing.	Reframed the adipose-liver secretory stress hypothesis as a test of whether genetic regulation of circulating CRELD2 relates to aging-related traits.
HG-02	Feasibility assessment	Determine whether a candidate has sufficient public data for analysis	Checks the availability and compatibility of eQTL, pQTL, GWAS, allele frequency, sample size, and regional summary statistics.	Selected GTEx v8 tissue eQTLs, UKB-PPP pQTLs, and GWAS outcomes with available summary statistics for frailty, leukocyte telomere length, and parental longevity.
HG-03	Statistical genetics execution	Map feasible evidence layers to reproducible scripts	Specifies deterministic analysis modules for pQTL extraction, allele harmonization, lead-variant Wald ratio MR, and Bayesian colocalization.	Generated the CRELD2 pQTL locus manifest, lead pQTL MR estimates, and coloc.abf() regional colocalization summaries.
HG-04	Gap-oriented sensitivity review	Identify limitations and run targeted checks when feasible	Records unresolved design issues, allele harmonization risks, sample overlap concerns, and sensitivity analyses.	Evaluated the palindromic C/G lead variant rs74510325 using pQTL, GWAS, dbSNP/PAGE, and gnomAD allele frequencies, then repeated colocalization excluding palindromic variants.
HG-05	Evidence grading	Separate exploratory support from confirmatory causal claims	Interprets the combined evidence using predefined thresholds and design limitations, including single-instrument MR and potential cohort overlap.	Reported CRELD2 as exploratory genetic support for frailty-related aging biology, not as definitive causal evidence.
AA-01	Hypothesis structuring	Convert a biological aging claim into competing single-cell-testable hypotheses	Defines the tissue, gene(s), candidate cell types, young/old age groups, sex stratification, and analysis intent, and frames the claim as competing hypotheses the atlas can adjudicate.	Framed CIRBP as hepatocyte stress vs Kupffer/myeloid origin and PGAT as male-specific VEC niche/VEGF-axis loss vs a sex-nonspecific process.
AA-02	Feasibility assessment	Determine whether a candidate has sufficient single-cell atlas data	Checks Mouse Aging Atlas (TileDB-SOMA) experiment availability, gene presence, age/sex/genotype metadata, and sufficient cells per group, flagging subsample composition caveats.	Confirmed Cirbp in the liver extract and Vegfa/Kdr in the male/female gWAT extracts, noting the 30k equal-size subsampling as a PGAT composition caveat.
AA-03	Single-cell & CCI execution	Map feasible components to deterministic MCP engine modules	Specifies SOMA-to-h5ad extraction, cell-type expression, age trajectory, young-old contrast, subclustering, and LIANA-based ligand-receptor comparison, with MCP as primary and a local scanpy cross-check.	Ran CIRBP lineage screening on liver and PGAT per-sex single-cell modules plus LIANA VEC-to-ASPC interaction on gWAT.
AA-04	Gap-oriented sensitivity (cross-check)	Independently recompute and three-way compare verdict-driving metrics	Locally recomputes the age trend, subcluster enrichment and stress markers, proportion trend, and ligand/receptor change, comparing MCP vs local vs reference with honest reproduced/directional-only/mismatch labels.	Reproduced the CIRBP aged-enriched stress subcluster, and labeled the PGAT female VEC proportion trend a mismatch due to subsample composition distortion.
AA-05	Evidence grading	Interpret competing hypotheses and grade single-cell support	Interprets single-cell association as supportive of cellular origin/context not causal, reads OR/fold directionally, and reports mismatch metrics as limitations.	Graded CIRBP as hepatocyte-supported and PGAT as VEC-niche/VEGF-axis-supported (male-specific) with the female-proportion caveat.
